asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B07BQS94FY,"3 Piece Satin Duvet Cover Set Bedding Sets Queen Black 1800 Series Luxury Rich Silk Silky Super Soft Solid Color Reversible Zipper Closure Sexy Honeymoon Wrinkle Free (Queen, Black)",https://m.media-amazon.com/images/I/510X-gh67-L._AC_UL320_.jpg,https://www.amazon.com/dp/B07BQS94FY,4.2,0,31.98,0.0,164,False,100
B07283237Y,"U-Haul King Pillow Top Mattress Bag (Fits Mattresses up to 17"" Thick) - 78"" x 103"" x 17""",https://m.media-amazon.com/images/I/515VvQd7AKL._AC_UL320_.jpg,https://www.amazon.com/dp/B07283237Y,4.4,0,12.99,0.0,164,False,200
B082PHJMZR,"Sealy Butterfly Breathable Cotton Non-Toxic Waterproof Premium Foam Baby Crib Mattress & Toddler Bed Mattress, Waterproof Crib Mattress, American Foam GREENGUARD GOLD Certified, Made in USA, 52""x28""",https://m.media-amazon.com/images/I/916cr6nfrAL._AC_UL320_.jpg,https://www.amazon.com/dp/B082PHJMZR,4.7,0,80.69,119.99,164,False,100
B00LZ5NA1U,2000017848,https://m.media-amazon.com/images/I/71y0YL9KLEL._AC_UL320_.jpg,https://www.amazon.com/dp/B00LZ5NA1U,4.2,0,30.98,0.0,164,False,300
B0916NP7YV,Young Men's School Uniform Long Sleeve Performance Oxford Button-Down Shirt,https://m.media-amazon.com/images/I/71oyPyCwkvL._AC_UL320_.jpg,https://www.amazon.com/dp/B0916NP7YV,4.3,0,19.99,0.0,110,False,50
B09M5ZK6PY,Men's Woven Silk Dress Shirt Button Down Casual Jacquard Shirts Long-Sleeve Shirt Prom Wedding Regular Fit,https://m.media-amazon.com/images/I/71tKD55mc0L._AC_UL320_.jpg,https://www.amazon.com/dp/B09M5ZK6PY,4.4,0,33.99,0.0,110,False,50
B09VS52LZ2,Men's 3-Pack Tank Top,https://m.media-amazon.com/images/I/51Hgr0yvOFL._AC_UL320_.jpg,https://www.amazon.com/dp/B09VS52LZ2,4.1,0,31.49,36.99,110,False,50
B07DGSSHJX,"Men's Shorts, Powerblend, Fleece, Soft Fleece Shorts for Men (Reg. or Big & Tall)",https://m.media-amazon.com/images/I/81pQeSE6CkL._AC_UL320_.jpg,https://www.amazon.com/dp/B07DGSSHJX,4.6,0,20.0,40.0,110,False,1000
B07HPGVJPN,"Sweatproof Mens Boxer Briefs Modal Fly Underwear w Sweat Pads, Silver Treated to Fight Odor, Aluminum Free Alternative",https://m.media-amazon.com/images/I/611sB7vcemL._AC_UL320_.jpg,https://www.amazon.com/dp/B07HPGVJPN,4.0,0,38.99,0.0,110,False,50
B06XHVMV9C,"Men's Athletic Gym Mesh Shorts with Pockets, Lightweight, Quick Dry, Breathable",https://m.media-amazon.com/images/I/71F9ITKsTpL._AC_UL320_.jpg,https://www.amazon.com/dp/B06XHVMV9C,4.3,0,13.26,0.0,110,False,100
